"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 25 01:04:27 GMT 2023","Wed Oct 25 01:04:29 GMT 2023","1263","","Validate posts resources","","Get Posts by User","","Get Posts by User",""
"passed","Wed Oct 25 01:04:36 GMT 2023","Wed Oct 25 01:04:38 GMT 2023","1209","","Validate users resources","","Update user details","","Update user details",""
"passed","Wed Oct 25 01:04:24 GMT 2023","Wed Oct 25 01:04:27 GMT 2023","3524","","Validate posts resources","","Create Post","","Create Post",""
"passed","Wed Oct 25 01:04:33 GMT 2023","Wed Oct 25 01:04:33 GMT 2023","406","","Validate users resources","","Create User with empty Email","","Create User with empty Email",""
"passed","Wed Oct 25 01:04:33 GMT 2023","Wed Oct 25 01:04:34 GMT 2023","975","","Validate users resources","","Create User with empty Status","","Create User with empty Status",""
"passed","Wed Oct 25 01:04:35 GMT 2023","Wed Oct 25 01:04:36 GMT 2023","1291","","Validate users resources","","Get Specific User","","Get Specific User",""
"passed","Wed Oct 25 01:04:32 GMT 2023","Wed Oct 25 01:04:33 GMT 2023","885","","Validate users resources","","Create User with empty Name","","Create User with empty Name",""
"passed","Wed Oct 25 01:04:34 GMT 2023","Wed Oct 25 01:04:35 GMT 2023","373","","Validate users resources","","Get all users","","Get all users",""
"passed","Wed Oct 25 01:04:30 GMT 2023","Wed Oct 25 01:04:31 GMT 2023","423","","Validate users resources","","Create User","","Create User",""
"passed","Wed Oct 25 01:04:36 GMT 2023","Wed Oct 25 01:04:36 GMT 2023","337","","Validate users resources","","Get Invalid User","","Get Invalid User",""
"passed","Wed Oct 25 01:04:31 GMT 2023","Wed Oct 25 01:04:32 GMT 2023","792","","Validate users resources","","Create User with email already taken","","Create User with email already taken",""
"passed","Wed Oct 25 01:04:29 GMT 2023","Wed Oct 25 01:04:30 GMT 2023","1793","","Validate posts resources","","Delete Post","","Delete Post",""
"passed","Wed Oct 25 01:04:33 GMT 2023","Wed Oct 25 01:04:33 GMT 2023","422","","Validate users resources","","Create User with empty Gender","","Create User with empty Gender",""
