"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Validate posts resources","Delete Post","0","0","1","0","0"
"","Validate users resources","Get Invalid User","0","0","1","0","0"
"","Validate users resources","Create User with empty Name","0","0","1","0","0"
"","Validate users resources","Create User with email already taken","0","0","1","0","0"
"","Validate posts resources","Get Posts by User","0","0","1","0","0"
"","Validate users resources","Create User with empty Email","0","0","1","0","0"
"","Validate users resources","Get Specific User","0","0","1","0","0"
"","Validate posts resources","Create Post","0","0","1","0","0"
"","Validate users resources","Create User","0","0","1","0","0"
"","Validate users resources","Update user details","0","0","1","0","0"
"","Validate users resources","Get all users","0","0","1","0","0"
"","Validate users resources","Create User with empty Gender","0","0","1","0","0"
"","Validate users resources","Create User with empty Status","0","0","1","0","0"
